,0
0,232
1,232
2,232
3,232
4,232
5,232
6,232
7,235
8,233
9,230
10,230
11,230
12,230
13,230
14,230
15,230
16,230
17,230
18,230
19,230
20,230
21,230
22,230
23,230
24,231
25,231
26,230
27,230
28,230
29,230
30,230
31,230
32,232
33,233
34,233
35,233
36,233
37,233
38,232
39,213
40,215
41,233
42,230
43,230
44,230
45,230
46,231
47,231
48,231
49,230
50,230
51,231
52,231
53,231
54,231
55,231
56,231
57,231
58,231
59,231
60,230
61,231
62,230
63,231
64,234
65,233
66,233
67,238
68,239
69,238
70,150
71,122
72,133
73,191
74,236
75,232
76,232
77,232
78,233
79,232
80,232
81,232
82,232
83,232
84,232
85,232
86,232
87,233
88,233
89,232
90,233
91,233
92,232
93,232
94,232
95,233
96,235
97,235
98,233
99,185
100,154
101,160
102,105
103,137
104,138
105,141
106,226
107,237
108,237
109,234
110,233
111,233
112,233
113,233
114,233
115,233
116,233
117,234
118,234
119,233
120,233
121,233
122,233
123,233
124,233
125,233
126,233
127,233
128,235
129,240
130,188
131,62
132,53
133,72
134,93
135,78
136,90
137,126
138,165
139,169
140,199
141,229
142,238
143,234
144,234
145,234
146,234
147,235
148,235
149,235
150,235
151,235
152,235
153,235
154,235
155,235
156,235
157,235
158,235
159,235
160,236
161,240
162,201
163,97
164,121
165,130
166,85
167,52
168,20
169,42
170,87
171,124
172,124
173,144
174,191
175,236
176,238
177,235
178,236
179,236
180,236
181,236
182,237
183,237
184,237
185,238
186,238
187,237
188,237
189,237
190,237
191,237
192,238
193,238
194,241
195,161
196,81
197,123
198,152
199,66
200,45
201,64
202,80
203,79
204,130
205,144
206,142
207,159
208,221
209,242
210,238
211,238
212,238
213,239
214,239
215,238
216,239
217,239
218,239
219,239
220,239
221,239
222,239
223,239
224,239
225,239
226,240
227,234
228,164
229,76
230,104
231,142
232,88
233,34
234,57
235,107
236,89
237,126
238,158
239,148
240,143
241,186
242,234
243,245
244,243
245,241
246,240
247,240
248,240
249,240
250,240
251,240
252,240
253,240
254,239
255,239
256,239
257,239
258,239
259,241
260,229
261,179
262,108
263,74
264,163
265,153
266,76
267,134
268,138
269,115
270,136
271,124
272,142
273,143
274,151
275,181
276,221
277,245
278,244
279,242
280,242
281,242
282,242
283,242
284,241
285,241
286,242
287,241
288,241
289,240
290,241
291,241
292,240
293,212
294,189
295,134
296,76
297,117
298,162
299,131
300,84
301,114
302,157
303,132
304,110
305,116
306,157
307,142
308,123
309,163
310,240
311,247
312,244
313,243
314,244
315,244
316,243
317,243
318,242
319,243
320,241
321,241
322,241
323,241
324,243
325,228
326,204
327,201
328,148
329,116
330,135
331,173
332,65
333,112
334,174
335,148
336,153
337,120
338,145
339,155
340,148
341,113
342,148
343,240
344,247
345,244
346,245
347,244
348,245
349,245
350,244
351,244
352,242
353,242
354,242
355,242
356,243
357,244
358,227
359,202
360,199
361,192
362,150
363,118
364,135
365,112
366,174
367,153
368,161
369,141
370,127
371,117
372,157
373,155
374,140
375,166
376,242
377,247
378,245
379,245
380,245
381,245
382,244
383,245
384,242
385,243
386,243
387,243
388,243
389,244
390,244
391,220
392,203
393,196
394,193
395,145
396,112
397,158
398,182
399,172
400,190
401,151
402,125
403,157
404,153
405,140
406,141
407,140
408,171
409,234
410,245
411,248
412,247
413,245
414,244
415,244
416,242
417,242
418,243
419,244
420,244
421,244
422,245
423,241
424,205
425,200
426,189
427,121
428,153
429,144
430,186
431,190
432,193
433,172
434,148
435,151
436,155
437,109
438,136
439,140
440,127
441,136
442,173
443,168
444,224
445,247
446,245
447,245
448,240
449,241
450,241
451,242
452,242
453,243
454,243
455,245
456,234
457,212
458,164
459,94
460,189
461,171
462,165
463,184
464,162
465,159
466,157
467,152
468,154
469,117
470,116
471,111
472,103
473,123
474,100
475,112
476,140
477,246
478,248
479,246
480,237
481,238
482,239
483,240
484,240
485,240
486,241
487,241
488,244
489,222
490,185
491,78
492,202
493,206
494,168
495,150
496,121
497,151
498,156
499,146
500,146
501,145
502,105
503,92
504,81
505,113
506,126
507,123
508,149
